"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-24,2026-08-30,"VD | Sales | Seasonal Best Sellers | DPA",active,19,actions:offsite_conversion.fb_pixel_purchase,70.31473684,506,Daily,1335.98,29565,11323,2.611057,45.187891,Ongoing,"7-day click or 1-day view",8.072875,19,10785.2,action_values:offsite_conversion.fb_pixel_purchase,406,1.373245,2.704413,478,336,73,18,35
2026-08-24,2026-08-30,"VD | Sales | Trousers | DPA",active,6,actions:offsite_conversion.fb_pixel_purchase,224.13,174,Daily,1344.78,26900,10593,2.539413,49.991822,Ongoing,"7-day click or 1-day view",1.374396,6,1848.26,action_values:offsite_conversion.fb_pixel_purchase,406,1.509294,2.414327,413,344,38,10,
2026-08-24,2026-08-30,"VD | Broad | Awareness",active,172349,reach,8.203819,196,Daily,1413.92,245452,172349,1.424157,5.760475,Ongoing,"7-day click or 1-day view",0.478549,1,,,236,0.096149,4.996184,1796,143,7,1,87
2026-08-24,2026-08-30,"VD | Retargeting | DPA",active,14,actions:offsite_conversion.fb_pixel_purchase,106.38071429,370,Daily,1489.33,29841,7859,3.797048,49.90885,Ongoing,"7-day click",5.216151,14,7768.57,action_values:offsite_conversion.fb_pixel_purchase,640,2.1447,2.040178,694,562,65,17,10
2026-08-24,2026-08-30,"VD | Broad | Prospecting | Sales",active,29,actions:offsite_conversion.fb_pixel_purchase,124.82034483,370,Daily,3619.79,67443,27978,2.410573,53.671841,Ongoing,"7-day click",3.763141,29,13621.78,action_values:offsite_conversion.fb_pixel_purchase,1534,2.274513,1.830951,2151,1347,149,28,183
