"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-11,2026-08-11,"VD | Broad | Awareness",active,6402,reach,4.71415183,100,Daily,30.18,6402,6402,1,4.714152,Ongoing,"7-day click or 1-day view",,,,,7,0.109341,3.7725,31,5,,1,2
2026-08-11,2026-08-11,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-08-11,"VD | Retargeting | DPA",active,,,,375,Daily,87.15,1980,1649,1.200728,44.015152,Ongoing,"7-day click",,,,,43,2.171717,1.815625,46,35,4,2,
2026-08-11,2026-08-11,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-08-11,"VD | Broad | Prospecting | Sales",active,2,actions:offsite_conversion.fb_pixel_purchase,93.98,820,Daily,187.96,3661,3065,1.194454,51.341164,Ongoing,"7-day click",5.368855,2,1009.13,action_values:offsite_conversion.fb_pixel_purchase,77,2.10325,1.937732,330,68,4,1,61
2026-08-11,2026-08-11,"Warehouse Clearance | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,2026-03-29,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-08-11,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-11,2026-08-11,"DecDeals25 | Prospecting | Sales | Broad | Advantage+ | SH Campaign – Copy",completed,,,,750,Daily,0,0,0,0,0,2025-12-21,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-11,"BLKNOV25 | Prospecting | Sales | Broad | Advantage+ | SH Campaign",completed,,,,1100,Daily,0,0,0,0,0,2025-12-01,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-11,2026-08-11,"Ongoing | Sales | ProTex1 | Advantage+ | SH",inactive,,,,200,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
