"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-10,2026-08-10,"VD | Broad | Awareness",active,15434,reach,5.76324997,100,Daily,88.95,16539,15434,1.071595,5.378197,Ongoing,"7-day click or 1-day view",,,,,8,0.048371,6.842308,140,9,,,2
2026-08-10,2026-08-10,"VD | Retargeting | DPA Broad Remarket",inactive,,,,44,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-10,2026-08-10,"VD | Retargeting | DPA",active,1,actions:offsite_conversion.fb_pixel_purchase,379.96,375,Daily,379.96,9181,6243,1.470607,41.38547,Ongoing,"7-day click",3.32564,1,1263.61,action_values:offsite_conversion.fb_pixel_purchase,164,1.786298,1.938571,174,131,5,5,3
2026-08-10,2026-08-10,"VD | Retargeting | DPA Campaign | Sales",inactive,,,,145,Daily,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-10,2026-08-10,"VD | Broad | Prospecting | Sales",active,5,actions:offsite_conversion.fb_pixel_purchase,157.136,820,Daily,785.68,16694,10335,1.615288,47.063616,Ongoing,"7-day click",1.420031,5,1115.69,action_values:offsite_conversion.fb_pixel_purchase,320,1.916856,1.925686,1143,266,27,11,165
2026-08-10,2026-08-10,"WinterSale | Prospecting | Sales | Advantage+",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click",,,,,,,0,,,,,
2026-08-10,2026-08-10,"Ongoing | Sales | ProTex1 | Advantage+ | SH",inactive,,,,200,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-10,2026-08-10,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,2,actions:offsite_conversion.fb_pixel_purchase,127.21,300,Daily,254.42,8417,5204,1.61741,30.226922,Ongoing,"7-day click or 1-day view",4.91518,2,1250.52,action_values:offsite_conversion.fb_pixel_purchase,105,1.247475,1.957077,129,87,4,5,4
2026-08-10,2026-08-10,"Customised Workwear | Awareness | Advantage+ | SH Campaign – Copy",inactive,,,,100,Daily,0,0,0,0,0,Ongoing,"7-day click or 1-day view",,,,,,,0,,,,,
2026-08-10,2026-08-10,"Key Categories | Sales | Advantage+ | SH Campaign",inactive,,,,"Using ad set budget",0,0,0,0,0,0,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,0,,,,,
