"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (DKK)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (DKK)",Ends,"Attribution setting","Purchase ROAS (return on ad spend)",Purchases,"Results value","Result value indicator","Link clicks","CTR (link click-through rate)","CPC (all) (DKK)","Post engagements","Landing page views","Adds to cart","Checkouts initiated",ThruPlays
2026-08-31,2026-09-10,"Ongoing | Sales | Hi-Vis Only | Advantage+ | SH",active,29,actions:offsite_conversion.fb_pixel_purchase,113.01206897,300,Daily,3277.35,73289,26650,2.750056,44.718171,Ongoing,"7-day click or 1-day view",5.006362,29,16407.6,action_values:offsite_conversion.fb_pixel_purchase,1489,2.031683,1.989891,1530,1370,114,54,4
2026-08-31,2026-09-10,"Ongoing | Sales | ProTex1 | Advantage+ | SH",active,29,actions:offsite_conversion.fb_pixel_purchase,119.10758621,327,Daily,3454.12,83383,35862,2.325107,41.424751,Ongoing,"7-day click or 1-day view",4.734815,29,16354.62,action_values:offsite_conversion.fb_pixel_purchase,1324,1.587854,2.093406,1358,1206,108,41,
2026-08-31,2026-09-10,"VD | Broad | Prospecting | Sales",active,27,actions:offsite_conversion.fb_pixel_purchase,147.24407407,370,Daily,3975.59,68806,26811,2.566335,57.779699,Ongoing,"7-day click",3.343305,27,13291.61,action_values:offsite_conversion.fb_pixel_purchase,1783,2.591344,1.781178,2295,1617,127,37,152
2026-08-31,2026-09-10,"VD | Retargeting | DPA",active,32,actions:offsite_conversion.fb_pixel_purchase,113.19,370,Daily,3622.08,74935,11987,6.251356,48.336291,Ongoing,"7-day click",3.664651,32,13273.66,action_values:offsite_conversion.fb_pixel_purchase,1791,2.390071,1.825645,1900,1631,153,43,17
2026-08-31,2026-09-10,"VD | Broad | Awareness",active,199116,reach,9.94214428,196,Daily,1979.64,325146,199116,1.632948,6.088465,Ongoing,"7-day click or 1-day view",,,,,227,0.069815,6.665455,1371,128,1,,91
2026-08-31,2026-09-10,"VD | Sales | Trousers | DPA",active,12,actions:offsite_conversion.fb_pixel_purchase,129.265,174,Daily,1551.18,33610,14531,2.312986,46.152336,Ongoing,"7-day click or 1-day view",3.68279,12,5712.67,action_values:offsite_conversion.fb_pixel_purchase,458,1.36269,2.361005,466,398,40,14,
2026-08-31,2026-09-10,"VD | Sales | Seasonal Best Sellers | DPA",active,37,actions:offsite_conversion.fb_pixel_purchase,56.50162162,506,Daily,2090.56,48337,21289,2.270515,43.249685,Ongoing,"7-day click or 1-day view",16.081155,37,33618.62,action_values:offsite_conversion.fb_pixel_purchase,748,1.547469,2.175401,794,640,102,31,14
